gauge;gauge_id;leitercharackter_huek250;hohlraumart_huek250;durchlässigkeit_huek250;dominating_soil_type_bk500;gesteinsart_huek250;soil_texture_boart_1000;land_use_corine;bodenausgangsgesteine_bag5000;bodengrosslandschaft_bgl5000;area_m2_watershed_cat;nFK_1m_FKD10dm_1000_cat;grundwasserneubildung_gwn_1000_cat;sickerwasserrate_mean_swr_1000_cat;greundigkeit_physgru_1000_cat;slope_mean_dem_40_cat;height_mean_dem_40_cat;height_min_cat;height_max_cat;elongation_ratio_cat;height_difference_cat
Adelshausen;42780500;Grundwasser-Geringleiter;Kluft;gering (>1E-7 - 1E-5);Dystric Cambisols;Sediment;Lehmsande (ls);Grassland;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(122.531, 181.917];(48.87, 117.619];(358.966, 519.139];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(86.97, 180.373];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Ahl UW;24781206;Grundwasser-Geringleiter;Kluft;gering (>1E-7 - 1E-5);Eutric Cambisols;Sediment;Tonschluffe (tu);Grassland;Tongesteine (i.w.S.);BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(86.97, 180.373];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Alsfeld;42880458;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Magmatit;Tonschluffe (tu);Grassland;Loesse und Loessderivate;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(241.125, 300.333];(117.619, 186.163];(198.312, 358.966];(12.498, 16.441];(0.783, 5.252];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Asslar;25842500;Grundwasser-Leiter;Kluft;maessig (>1E-5 - 1E-4);Eutric Cambisols;Magmatit;Tonschluffe (tu);Wood;Basische Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(122.531, 181.917];(117.619, 186.163];(358.966, 519.139];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(86.97, 180.373];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Auhammer;42810204;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";(3117814.195, 935127935.037];(122.531, 181.917];(117.619, 186.163];(519.139, 679.312];(4.601, 8.555];(9.707, 14.162];(455.795, 622.534];(273.496, 366.62];(725.064, 982.362];(0.308, 0.47];(337.022, 550.825]
Bad Hersfeld 1;42710050;Grundwasser-Leiter/Geringleiter;Kluft;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Lehmsande (ls);Grassland;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(1864350388.518, 2793572842.0];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(725.064, 982.362];(0.47, 0.632];(550.825, 764.629]
Bad Hersfeld 2;42590301;Grundwasser-Leiter/Geringleiter;Kluft;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Lehmsande (ls);Grassland;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(122.531, 181.917];(48.87, 117.619];(198.312, 358.966];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.308, 0.47];(337.022, 550.825]
Bad Salzschlirf;42430156;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols / Stagnic Gleysols;Magmatit;Tonschluffe (tu);Grassland;Basische Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(181.917, 241.125];(186.163, 254.707];(358.966, 519.139];(8.555, 12.498];(0.783, 5.252];(289.056, 455.795];(180.373, 273.496];(725.064, 982.362];(0.308, 0.47];(337.022, 550.825]
Bad Soden;24781909;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Tonschluffe (tu);Grassland;Basische Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(8.555, 12.498];(0.783, 5.252];(289.056, 455.795];(86.97, 180.373];(467.765, 725.064];(0.308, 0.47];(550.825, 764.629]
Bad Vilbel;24870055;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Tonschluffe (tu);Agriculture;Loesse und Loessderivate;BGL der Loesslandschaften des Berglandes (Becken, Talweitungen, Senken, Berglandhaenge und LoesshÃ¼gellaender);(935127935.037, 1864350388.518];(241.125, 300.333];(48.87, 117.619];(198.312, 358.966];(12.498, 16.441];(0.783, 5.252];(121.817, 289.056];(86.97, 180.373];(725.064, 982.362];(0.47, 0.632];(550.825, 764.629]
Bartenhausen;25822659;Grundwasser-Leiter/Geringleiter;Kluft;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Lehmsande (ls);Wood;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(181.917, 241.125];(48.87, 117.619];(198.312, 358.966];(8.555, 12.498];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Bensheim;23950104;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Dystric Cambisols ;Magmatit;Sandlehme (sl);Grassland;Saure Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(122.531, 181.917];(117.619, 186.163];(358.966, 519.139];(4.601, 8.555];(9.707, 14.162];(289.056, 455.795];(86.97, 180.373];(467.765, 725.064];(0.308, 0.47];(337.022, 550.825]
Biedenkopf;25810558;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";(3117814.195, 935127935.037];(122.531, 181.917];(117.619, 186.163];(519.139, 679.312];(4.601, 8.555];(9.707, 14.162];(455.795, 622.534];(180.373, 273.496];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Bischhausen;41850054;Grundwasser-Geringleiter;Kluft;gering (>1E-7 - 1E-5);Dystric Cambisols;Sediment;Lehmsande (ls);Grassland;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(122.531, 181.917];(117.619, 186.163];(358.966, 519.139];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(725.064, 982.362];(0.47, 0.632];(337.022, 550.825]
Bonbaden;25850257;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";(3117814.195, 935127935.037];(122.531, 181.917];(48.87, 117.619];(198.312, 358.966];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(86.97, 180.373];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Braunsen;44430055;Grundwasser-Geringleiter;Kluft;gering (>1E-7 - 1E-5);Dystric Cambisols;Sediment;Lehmsande (ls);Agriculture;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(181.917, 241.125];(48.87, 117.619];(198.312, 358.966];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.47, 0.632];(122.577, 337.022]
Breidenbach;25810354;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Grassland;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";(3117814.195, 935127935.037];(122.531, 181.917];(117.619, 186.163];(519.139, 679.312];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(273.496, 366.62];(467.765, 725.064];(0.47, 0.632];(122.577, 337.022]
Bruchenbruecken;24841250;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Tonschluffe (tu);Agriculture;Loesse und Loessderivate;BGL der Loesslandschaften des Berglandes (Becken, Talweitungen, Senken, Berglandhaenge und LoesshÃ¼gellaender);(3117814.195, 935127935.037];(241.125, 300.333];(48.87, 117.619];(198.312, 358.966];(12.498, 16.441];(0.783, 5.252];(121.817, 289.056];(86.97, 180.373];(467.765, 725.064];(0.308, 0.47];(337.022, 550.825]
Buedingen;24861054;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols / Stagnic Gleysols;Magmatit;Tonschluffe (tu);Wood;Basische Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(8.555, 12.498];(5.252, 9.707];(289.056, 455.795];(86.97, 180.373];(467.765, 725.064];(0.308, 0.47];(337.022, 550.825]
Dalwigksthal;42840453;Grundwasser-Geringleiter;Kluft;sehr gering (>1E-9 - 1E-7);Spodic Cambisols;Sediment;Tonschluffe (tu);Grassland;Tongesteine (i.w.S.);BGL mit hohen Anteilen an Quarzit, Grauwacke, Sandsteine und Konglomerat sowie Ton  und Schluffschiefern;(3117814.195, 935127935.037];(122.531, 181.917];(117.619, 186.163];(358.966, 519.139];(4.601, 8.555];(5.252, 9.707];(455.795, 622.534];(273.496, 366.62];(725.064, 982.362];(0.47, 0.632];(337.022, 550.825]
Dillenburg 1;25840708;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";(3117814.195, 935127935.037];(122.531, 181.917];(117.619, 186.163];(519.139, 679.312];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.632, 0.794];(337.022, 550.825]
Dillenburg 2;25840650;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";(3117814.195, 935127935.037];(122.531, 181.917];(117.619, 186.163];(519.139, 679.312];(4.601, 8.555];(9.707, 14.162];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.308, 0.47];(337.022, 550.825]
Eberstadt;23960709;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Dystric Cambisols ;Magmatit;Sandlehme (sl);Grassland;Saure Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(8.555, 12.498];(5.252, 9.707];(121.817, 289.056];(86.97, 180.373];(467.765, 725.064];(0.308, 0.47];(337.022, 550.825]
Ehringen;44480552;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Eutric Cambisols;Sediment;Tonschluffe (tu);Agriculture;Sandsteine;BGL mit hohem Anteil an Sand  und Mergelgesteinen, stellenweise im Wechsel mit Loesslehm;(3117814.195, 935127935.037];(181.917, 241.125];(48.87, 117.619];(198.312, 358.966];(8.555, 12.498];(0.783, 5.252];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.632, 0.794];(337.022, 550.825]
Eichelsachsen;24810359;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols / Stagnic Gleysols;Magmatit;Tonschluffe (tu);Grassland;Basische Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(181.917, 241.125];(186.163, 254.707];(519.139, 679.312];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(725.064, 982.362];(0.308, 0.47];(337.022, 550.825]
Eppstein;24960307;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Dystric Cambisols;Sediment;Tonschluffe (tu);Wood;Sandsteine;BGL mit hohen Anteilen an Quarzit, Grauwacke, Sandsteine und Konglomerat sowie Ton  und Schluffschiefern;(3117814.195, 935127935.037];(122.531, 181.917];(48.87, 117.619];(198.312, 358.966];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(86.97, 180.373];(725.064, 982.362];(0.632, 0.794];(550.825, 764.629]
Essershausen;25860851;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";(3117814.195, 935127935.037];(122.531, 181.917];(48.87, 117.619];(358.966, 519.139];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(86.97, 180.373];(725.064, 982.362];(0.308, 0.47];(550.825, 764.629]
Etzelmuehle;25831059;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";(3117814.195, 935127935.037];(181.917, 241.125];(48.87, 117.619];(358.966, 519.139];(8.555, 12.498];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Fahrenbach;23940359;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Dystric Cambisols ;Magmatit;Sandlehme (sl);Grassland;Saure Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(8.555, 12.498];(9.707, 14.162];(289.056, 455.795];(86.97, 180.373];(467.765, 725.064];(0.632, 0.794];(337.022, 550.825]
Friedberg;24841206;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Agriculture;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";(3117814.195, 935127935.037];(181.917, 241.125];(48.87, 117.619];(198.312, 358.966];(8.555, 12.498];(0.783, 5.252];(289.056, 455.795];(86.97, 180.373];(467.765, 725.064];(0.308, 0.47];(337.022, 550.825]
Fritzlar;42870057;Grundwasser-Geringleiter;Kluft;sehr gering (>1E-9 - 1E-7);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);BGL mit hohen Anteilen an Quarzit, Grauwacke, Sandsteine und Konglomerat sowie Ton  und Schluffschiefern;(935127935.037, 1864350388.518];(122.531, 181.917];(117.619, 186.163];(358.966, 519.139];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(86.97, 180.373];(725.064, 982.362];(0.308, 0.47];(550.825, 764.629]
Gelnhausen;24783450;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Dystric Cambisols;Magmatit;Tonschluffe (tu);Grassland;Loesse und Loessderivate;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(8.555, 12.498];(5.252, 9.707];(289.056, 455.795];(86.97, 180.373];(467.765, 725.064];(0.47, 0.632];(550.825, 764.629]
Gemuenden;25822251;Grundwasser-Geringleiter;Kluft;gering (>1E-7 - 1E-5);Dystric Cambisols;Sediment;Lehmsande (ls);Wood;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(181.917, 241.125];(48.87, 117.619];(198.312, 358.966];(8.555, 12.498];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.632, 0.794];(337.022, 550.825]
Glauberg;24860754;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Tonschluffe (tu);Wood;Basische Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(86.97, 180.373];(725.064, 982.362];(0.308, 0.47];(550.825, 764.629]
Gross-Bieberau 2;24761005;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Dystric Cambisols ;Magmatit;Sandlehme (sl);Wood;Saure Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(8.555, 12.498];(5.252, 9.707];(121.817, 289.056];(86.97, 180.373];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Guenthers;41450056;Grundwasser-Leiter/Geringleiter;Kluft;maessig bis gering (>1E-6 - 1E-4);Eutric Cambisols / Stagnic Gleysols;Sediment;Tonschluffe (tu);Grassland;Basische Magmatite und Metamorphite;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(181.917, 241.125];(186.163, 254.707];(519.139, 679.312];(4.601, 8.555];(5.252, 9.707];(455.795, 622.534];(273.496, 366.62];(725.064, 982.362];(0.47, 0.632];(550.825, 764.629]
Gungelshausen;42881100;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Magmatit;Tonschluffe (tu);Grassland;Loesse und Loessderivate;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(241.125, 300.333];(117.619, 186.163];(198.312, 358.966];(12.498, 16.441];(0.783, 5.252];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.308, 0.47];(122.577, 337.022]
Haiger;25840253;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";(3117814.195, 935127935.037];(122.531, 181.917];(117.619, 186.163];(519.139, 679.312];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Hainmuehle;25822808;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Tonschluffe (tu);Grassland;Basische Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(241.125, 300.333];(117.619, 186.163];(198.312, 358.966];(8.555, 12.498];(0.783, 5.252];(289.056, 455.795];(180.373, 273.496];(725.064, 982.362];(0.47, 0.632];(337.022, 550.825]
Hanau;24784259;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Dystric Cambisols;Magmatit;Tonschluffe (tu);Grassland;Loesse und Loessderivate;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(8.555, 12.498];(5.252, 9.707];(289.056, 455.795];(86.97, 180.373];(467.765, 725.064];(0.308, 0.47];(550.825, 764.629]
Harreshausen;24762653;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Dystric Cambisols ;Magmatit;Sandlehme (sl);Agriculture;Loesse und Loessderivate;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(198.312, 358.966];(12.498, 16.441];(0.783, 5.252];(121.817, 289.056];(86.97, 180.373];(467.765, 725.064];(0.308, 0.47];(337.022, 550.825]
Hebel;42883558;Grundwasser-Leiter/Geringleiter;Kluft;maessig bis gering (>1E-6 - 1E-4);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Sediment;Tonschluffe (tu);Agriculture;Loesse und Loessderivate;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(241.125, 300.333];(48.87, 117.619];(198.312, 358.966];(12.498, 16.441];(5.252, 9.707];(289.056, 455.795];(86.97, 180.373];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Heimboldshausen;41510205;Grundwasser-Geringleiter;Kluft;gering (>1E-7 - 1E-5);Spodic Cambisol ;Sediment;Tonschluffe (tu);Wood;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(1864350388.518, 2793572842.0];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(4.601, 8.555];(5.252, 9.707];(455.795, 622.534];(180.373, 273.496];(725.064, 982.362];(0.308, 0.47];(550.825, 764.629]
Helmarshausen;44950055;Grundwasser-Leiter/Geringleiter;Kluft;maessig bis gering (>1E-6 - 1E-4);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Sediment;Tonschluffe (tu);Agriculture;Tongesteine (i.w.S.);BGL mit hohem Anteil an carbonatischen Gesteinen;(935127935.037, 1864350388.518];(181.917, 241.125];(48.87, 117.619];(198.312, 358.966];(8.555, 12.498];(5.252, 9.707];(289.056, 455.795];(86.97, 180.373];(725.064, 982.362];(0.308, 0.47];(550.825, 764.629]
Helsa;42960105;Grundwasser-Leiter/Geringleiter;Kluft;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Lehmsande (ls);Wood;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(122.531, 181.917];(117.619, 186.163];(358.966, 519.139];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Herbornseelbach;25841507;Grundwasser-Geringleiter;Kluft;sehr gering (>1E-9 - 1E-7);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";(3117814.195, 935127935.037];(122.531, 181.917];(48.87, 117.619];(358.966, 519.139];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Hermannspiegel;42670557;Grundwasser-Leiter/Geringleiter;Kluft;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Lehmsande (ls);Grassland;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(181.917, 241.125];(48.87, 117.619];(198.312, 358.966];(8.555, 12.498];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(725.064, 982.362];(0.308, 0.47];(550.825, 764.629]
